Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen

Amsterdam Noord;Marlie van Ree;06-28802572;MarlievanRee@rhyta.com;Amerbos 128;Amsterdam;zondag 1 april 2018;Afhalen;zondag 1 april 2018;17:32;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 5,95;;€ 0,00;€ 5,95

Diemen;Daimen Heuts;06-11842964;DaimenHeuts@superrito.com;Tobias Asserlaan 123;Diemen;dinsdag 2 januari 2018;Afhalen;dinsdag 2 januari 2018;19:07;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 10,95;€ 10,95;25% korting op je bestelling;€ 2,74;€ 8,21

Utrecht Marnixlaan;Erin van der Vleuten;06-35379955;ErinvanderVleuten@rhyta.com;Kleine Geertekerkhof 95;Utrecht;zondag 29 juli 2018;Afhalen;zondag 29 juli 2018;19:27;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 79,60;2e pizza gratis bij afhalen;€ 7,95;€ 71,65
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Shoarma;Large Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 17,90;;;;

Diemen;Gio Pos;06-45254914;GioPos@jourrapide.com;Kolgans 32;Diemen;maandag 1 oktober 2018;Afhalen;maandag 1 oktober 2018;16:48;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 27,85;;€ 0,00;€ 27,85
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;;;;

Leeuwarden;Nehemia Klee;06-88963330;NehemiaKlee@fleckens.hu;Pier Panderstraat 119;Leeuwarden;maandag 6 november 2017;Bezorgen;maandag 6 november 2017;16:02;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Almere;Merijn Kaur;06-47005955;MerijnKaur@gustr.com;Willem Bontekoestraat 182;Almere;dinsdag 10 januari 2017;Bezorgen;dinsdag 10 januari 2017;18:50;Pollo Pomodore;Medium Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;;;;

Diemen;Smahane Hertogh;06-60388470;SmahaneHertogh@fleckens.hu;Esstede 100;Diemen;woensdag 17 oktober 2018;Afhalen;woensdag 17 oktober 2018;18:21;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;€ 34,75;;€ 0,00;€ 34,75
;;;;;;;;;;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hawaii;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;

Bussum;Faysal de Pree;06-79642776;FaysaldePree@superrito.com;Brinklaan 42;Bussum;maandag 6 maart 2017;Afhalen;maandag 6 maart 2017;19:39;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;;2;;€ 0,00;€ 13,90;€ 37,80;;€ 0,00;€ 37,80
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;

Uden;Titia Vellema;06-65991624;TitiaVellema@armyspy.com;Margrietstraat 119;Uden;zaterdag 27 april 2019;Afhalen;zaterdag 27 april 2019;17:43;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 57,25;;€ 0,00;€ 57,25
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;;1;Kip, Spinazie, Pepperoni, Knoflooksaus Swirl;€ 3,50;€ 16,45;;;;

Amersfoort;Xin van Heck;06-83658258;XinvanHeck@einrot.com;Zandbergenlaan 61;Amersfoort;vrijdag 7 juli 2017;Bezorgen;vrijdag 7 juli 2017;20:25;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 89,65;;€ 0,00;€ 89,65
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Nieuwegein;Cong Monsma;06-51960387;CongMonsma@teleworm.us;Hendrik Marsmanhove 143;Nieuwegein;zondag 17 december 2017;Bezorgen;zondag 17 december 2017;17:19;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 10,95;25% korting op je bestelling;€ 2,74;€ 8,21

Zoetermeer;Brit Meijers;06-89371957;BritMeijers@cuvox.de;Biesland 2;Zoetermeer;maandag 1 oktober 2018;Bezorgen;maandag 1 oktober 2018;16:14;Veggi;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 39,80;;€ 0,00;€ 39,80
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Heerhugowaard;Sarai Raadschelders;06-13623011;SaraiRaadschelders@rhyta.com;Ank van der Moerplantsoen 5;Heerhugowaard;vrijdag 10 november 2017;Bezorgen;vrijdag 10 november 2017;16:11;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;Gehakt, Honing Mosterdsaus, Geitenkaas, Merguez;€ 3,50;€ 34,90;€ 105,55;;€ 0,00;€ 105,55
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;

Nootdorp;Fadma Scholman;06-58795917;FadmaScholman@teleworm.us;Lorentzweg 116;Haren;dinsdag 15 januari 2019;Bezorgen;dinsdag 15 januari 2019;19:10;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 34,85;3e pizza gratis bij bezorgen;€ 0,00;€ 34,85
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Zwolle Bachplein;Dione Leffers;06-10338713;DioneLeffers@jourrapide.com;Barneveldsebeek 127;Zwolle;zondag 29 september 2019;Afhalen;zondag 29 september 2019;16:52;Beenham;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;€ 31,80;;€ 0,00;€ 31,80

Roermond;Dayanara van den Boer;06-33967518;DayanaravandenBoer@dayrep.com;Fokkerstraat 132;Roermond;donderdag 25 oktober 2018;Bezorgen;donderdag 25 oktober 2018;16:05;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 43,80;€ 55,75;;€ 0,00;€ 55,75
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;;;;

Berkel en Rodenrijs;Vito de Bruijne;06-95232870;VitodeBruijne@cuvox.de;Huijgenslaan 143;Berkel en Rodenrijs;woensdag 6 juni 2018;Afhalen;woensdag 6 juni 2018;16:39;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 50,70;;€ 0,00;€ 50,70
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;;4;;€ 0,00;€ 35,80;;;;

Voorburg;Emmelien Ham;06-91716168;EmmelienHam@fleckens.hu;Jasmijnhof 140;Bleiswijk;vrijdag 12 oktober 2018;Bezorgen;vrijdag 12 oktober 2018;20:30;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;€ 15,95;;€ 0,00;€ 15,95

Ede;Mitzy Uysal;06-54459389;MitzyUysal@jourrapide.com;Liebeek 57;Ede;woensdag 3 januari 2018;Bezorgen;woensdag 3 januari 2018;18:40;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 48,80;;€ 0,00;€ 48,80
;;;;;;;;;;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;Merguez, Groene Olijven, Kip;€ 3,00;€ 13,95;;;;
;;;;;;;;;;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Hoogezand;Christof Vromans;06-55423414;ChristofVromans@dayrep.com;Oude Haven 42;Voorburg;woensdag 11 januari 2017;Bezorgen;woensdag 11 januari 2017;16:44;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 72,75;;€ 0,00;€ 72,75
;;;;;;;;;;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Champignons, Honing Mosterdsaus, Champignons, Salami;€ 3,50;€ 32,90;;;;
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;

AC Sevenum;Bonne van der Sluis;06-54692255;BonnevanderSluis@superrito.com;Tinnegieterstraat 140;Sevenum;zondag 12 augustus 2018;Afhalen;zondag 12 augustus 2018;20:19;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 81,60;;€ 0,00;€ 81,60
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;2;Merguez, Champignons, Beenham, Paprikamix;€ 4,50;€ 22,90;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;

Osdorp;Roxanna van Hoek;06-44652150;RoxannavanHoek@teleworm.us;Ierstweg 133;Hattem;zaterdag 17 maart 2018;Afhalen;zaterdag 17 maart 2018;19:05;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 69,60;;€ 0,00;€ 69,60
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;;4;;€ 0,00;€ 39,80;;;;

Almelo;Abubakar van der Lugt;06-66727999;AbubakarvanderLugt@cuvox.de;Boomshoeksdwarsweg 151;Almelo;zondag 19 mei 2019;Bezorgen;zondag 19 mei 2019;19:10;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;4;;€ 0,00;€ 47,80;€ 99,60;;€ 0,00;€ 99,60
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;Beenham, Shoarma;€ 3,00;€ 25,90;;;;
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;

Rotterdam Noord;Jay van den Boer;06-29352958;JayvandenBoer@teleworm.us;Compagniestraat 29;Rotterdam;zondag 24 november 2019;Afhalen;zondag 24 november 2019;18:15;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Utrecht Adelaarstraat;Otte van Roijen;06-48614214;OttevanRoijen@teleworm.us;Oranjelaan 81;De Meern;zondag 6 oktober 2019;Bezorgen;zondag 6 oktober 2019;16:52;Beenham;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 50,75;;€ 0,00;€ 50,75
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;

Lelystad;Olivia Kiestra;06-92454308;OliviaKiestra@superrito.com;Karveel 13;Lelystad;dinsdag 21 mei 2019;Bezorgen;dinsdag 21 mei 2019;17:24;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Geitenkaas, Chorizo;€ 2,00;€ 11,95;€ 25,85;;€ 0,00;€ 25,85
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;

Roosendaal;Orhun Wien;06-93439539;OrhunWien@superrito.com;Breitnerlaan 56;Roosendaal;zaterdag 18 augustus 2018;Bezorgen;zaterdag 18 augustus 2018;20:50;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 41,80;;€ 0,00;€ 41,80
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Schiedam;Aya Trentelman;06-92366189;AyaTrentelman@jourrapide.com;Obrechtstraat 158;Schiedam;woensdag 28 november 2018;Afhalen;woensdag 28 november 2018;16:46;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;;1;Knoflooksaus Swirl, Verse Tomaat;€ 1,50;€ 13,45;€ 41,20;;€ 0,00;€ 41,20
;;;;;;;;;;Americana;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 19,80;;;;

Geldrop;Rabab de Kruijff;06-19337988;RababdeKruijff@superrito.com;Smuldersstraat 39;Geldrop;zaterdag 22 juli 2017;Bezorgen;zaterdag 22 juli 2017;17:11;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;€ 57,70;;€ 0,00;€ 57,70
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 43,80;;;;

Berkel en Rodenrijs;Bernd Ton;06-29971122;BerndTon@rhyta.com;Freesiastraat 2;Berkel en Rodenrijs;zaterdag 13 april 2019;Afhalen;zaterdag 13 april 2019;16:39;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;€ 6,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 6,95

Veghel;Stéfanie ten Veen;06-82640728;StefanietenVeen@superrito.com;Johan de Wittstraat 155;Veghel;zondag 22 april 2018;Bezorgen;zondag 22 april 2018;17:39;Supreme;Large Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 44,85;;€ 0,00;€ 44,85
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;Chorizo, Spinazie, Tonijn, Rode Ui;€ 4,50;€ 30,90;;;;

Leiderdorp;Elijah Juliana;06-56941368;ElijahJuliana@gustr.com;Lisdoddekreek 161;Leiderdorp;maandag 9 december 2019;Afhalen;maandag 9 december 2019;17:30;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 27,90;€ 47,80;;€ 0,00;€ 47,80
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;

Zaandam;Lauran Zweep;06-95483254;LauranZweep@einrot.com;Nieuwe Zuiderlingedijk 59;Heukelum;maandag 19 juni 2017;Afhalen;maandag 19 juni 2017;17:54;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 19,90;25% korting op je bestelling;€ 4,98;€ 14,93
;;;;;;;;;;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 13,95;;;;

Haarlem Tesselschadeplein;Maggy Hilferink;06-49558030;MaggyHilferink@cuvox.de;Doctor Leijdsstraat 52;Haarlem;woensdag 17 oktober 2018;Afhalen;woensdag 17 oktober 2018;16:04;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 12,95;€ 54,75;3e pizza gratis bij bezorgen;€ 0,00;€ 54,75
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Osdorp;Marlinda Hofman;06-88397601;MarlindaHofman@einrot.com;Fresiastraat 191;Amsterdam;vrijdag 19 januari 2018;Afhalen;vrijdag 19 januari 2018;20:31;Americana;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Goes;Tanno Saarloos;06-34869631;TannoSaarloos@cuvox.de;Couwervestraat 186;Goes;dinsdag 3 april 2018;Afhalen;dinsdag 3 april 2018;16:13;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 39,80;€ 39,80;;€ 0,00;€ 39,80

Geldrop;Puck Mahamed;06-62742122;PuckMahamed@teleworm.us;Kastanjehof 136;Geldrop;dinsdag 24 juli 2018;Bezorgen;dinsdag 24 juli 2018;20:22;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 43,80;;€ 0,00;€ 43,80
;;;;;;;;;;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Gorinchem;Sharron Beld;06-18310698;SharronBeld@dayrep.com;Jagerslaan 195;Gorinchem;dinsdag 1 mei 2018;Bezorgen;dinsdag 1 mei 2018;17:21;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 65,70;;€ 0,00;€ 65,70
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 14,95;;;;
;;;;;;;;;;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;;;;

Hoogezand;Jermo Verhoek;06-59811948;JermoVerhoek@gustr.com;Dalkweg 123;Klarenbeek;vrijdag 10 mei 2019;Bezorgen;vrijdag 10 mei 2019;18:04;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;Kaasmix, Paprikamix;€ 2,50;€ 14,45;€ 14,45;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 14,45

Bergen op Zoom;Ninah de Geest;06-56586108;NinahdeGeest@dayrep.com;Polluxstraat 74;Bergen op Zoom;maandag 8 april 2019;Bezorgen;maandag 8 april 2019;18:33;Hawaii;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 43,80;;€ 0,00;€ 43,80
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Meppel;Giliano Oldenhof;06-37659232;GilianoOldenhof@jourrapide.com;Resedastraat 4;Meppel;zaterdag 3 juni 2017;Afhalen;zaterdag 3 juni 2017;18:45;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 92,60;;€ 0,00;€ 92,60
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;;4;;€ 0,00;€ 51,80;;;;

Leiderdorp;Omayma Valk;06-62581971;OmaymaValk@gustr.com;Cees Nooteboompad 111;Leiderdorp;zondag 26 maart 2017;Bezorgen;zondag 26 maart 2017;17:38;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 29,90;;€ 0,00;€ 29,90

Veenendaal;Shadi Klinkenberg;06-20520071;ShadiKlinkenberg@armyspy.com;Hoofdstraat 63;Veenendaal;zaterdag 22 april 2017;Afhalen;zaterdag 22 april 2017;17:51;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 40,80;;€ 0,00;€ 40,80
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 7,95;;;;

Amersfoort;Jade Riezebos;06-55219277;JadeRiezebos@cuvox.de;De Heuvel 143;Amersfoort;vrijdag 17 november 2017;Afhalen;vrijdag 17 november 2017;16:00;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 8,95;€ 8,95;2e pizza gratis bij afhalen;€ 0,00;€ 8,95

Amsterdam Ceintuurbaan;Leoniek van Teeffelen;06-95909907;LeoniekvanTeeffelen@jourrapide.com;Overbrakerpad 81;Amsterdam;zaterdag 23 november 2019;Afhalen;zaterdag 23 november 2019;19:11;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 23,90;€ 33,85;;€ 0,00;€ 33,85
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;;;;

Almelo;Bionda Bakkenes;06-67257510;BiondaBakkenes@armyspy.com;Laan van Biel 132;Almelo;dinsdag 7 februari 2017;Afhalen;dinsdag 7 februari 2017;16:13;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 15,90;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 15,90
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;

Groningen Paterswoldseweg;Jean-Michel Tilstra;06-28489312;Jean-MichelTilstra@superrito.com;Vierde Drift Noorderhaven 165;Groningen;woensdag 19 december 2018;Afhalen;woensdag 19 december 2018;18:02;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 54,75;25% korting op je bestelling;€ 13,69;€ 41,06
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 27,90;;;;

Goes;Joeri Bron;06-69912563;JoeriBron@fleckens.hu;Lijsterbesstraat 32;Goes;woensdag 11 september 2019;Afhalen;woensdag 11 september 2019;16:19;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;;2;Pepperoni, Gehakt;€ 2,00;€ 21,90;€ 60,70;;€ 0,00;€ 60,70
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Margaritha;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;;;;
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;;;;

Veenendaal;Pieterke Gros;06-22328799;PieterkeGros@teleworm.us;Prins Willem-Alexanderpark 57;Veenendaal;dinsdag 18 juli 2017;Afhalen;dinsdag 18 juli 2017;16:43;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 23,90;€ 42,80;;€ 0,00;€ 42,80
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 9,95;;;;

